,name,innings,runs,balls,fours,sixes,strike_rate,average,boundaries_runs_percentage,boundaries_per_ball
0,Sachin Tendulkar,452,18426,21367,2016,195,86.24,40.77,0.5,9.66
1,Kumar Sangakkara,380,14234,18048,1385,88,78.87,37.46,0.43,12.25
2,Ricky Ponting,365,13704,17046,1231,162,80.39,37.55,0.43,12.24
3,Sanath Jayasuriya,433,13430,14725,1500,270,91.21,31.02,0.57,8.32
4,Virat Kohli,290,13906,14800,1300,152,93.96,47.95,0.44,10.19
5,Mahela Jayawardene,418,12650,16047,1119,76,78.83,30.26,0.39,13.43
6,Inzamam-ul-Haq,350,11739,15812,971,144,74.24,33.54,0.4,14.18
7,Jacques Kallis,314,11579,15822,911,137,73.18,36.88,0.39,15.1
8,Sourav Ganguly,300,11363,15416,1122,190,73.71,37.88,0.5,11.75
9,Rahul Dravid,318,10889,15271,950,42,71.31,34.24,0.37,15.39
10,MS Dhoni,297,10773,12303,826,229,87.56,36.27,0.43,11.66
11,Chris Gayle,294,10480,12019,1128,331,87.2,35.65,0.62,8.24
12,Brian Lara,289,10405,13086,1042,133,79.51,36.0,0.48,11.14
13,AB de Villiers,218,9577,9473,840,204,101.1,43.93,0.48,9.07
14,Adam Gilchrist,279,9619,9922,1162,149,96.95,34.48,0.58,7.57
15,Rohit Sharma,262,11168,12000,1040,323,93.07,42.63,0.55,8.8
16,Shikhar Dhawan,164,6793,7600,842,79,89.38,41.42,0.57,8.25
17,David Warner,159,6932,7200,750,130,96.28,43.6,0.55,8.18
18,Joe Root,171,6522,7500,520,53,86.96,38.14,0.37,13.09
19,Ricky Ponting,365,13704,17046,1231,162,80.39,37.55,0.43,12.24
20,Adam Gilchrist,279,9619,9922,1162,149,96.95,34.48,0.58,7.57
